Nombre,Tipo,Latitud,Longitud,Elevacion,Municipio,Departamento,X,Y,Z,Entidad,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05
El Tabaco R�o Bogot�,HMT,4.63155,-74.23914,2552,"Bogotá, D.C",Cundinamarca,1727481.611950242,-6120746.778923438,515226.3041386222,IDIGER,0,139966502,0,0,0,0,0,0,0,0,3063617,0,0,0,0,0,0,161875763,357059362,357075360,345548801,357075360,345556800,357075360,357067361,322519680,357075360,345556800,357051363,345548801,357035365,357075360,345556800,357051363,345556800,357075360,357075360,322519680,"86693238,7","33,6","32,9","10,2","38,1",42,"60,2","56,9","20,1","48,6","5,2","38,4","22,1","94,1","54,5","105,6","34,1","22,2","42,5","110,2","93,6","15,2","26,3","43,4","89,3","75,1","87,7"
Independencia R�o Tunjuelo,HMT,4.619272,-74.19459401,2548,"Bogotá, D.C",Cundinamarca,1732268.7584322134,-6119504.114354684,513863.10812547413,IDIGER,"4,5","41,3","36,9","60,1","40,6","60,7","29,3","10,8","0,2","7,8","137,7","22,3","6,4","14,4","109,4","69,5","125,2","122,5",33,"112,2","41,8","99,7","61,8",4,"2,3","53,1",35,"93,8","65,3","119,1","43,8","40,3","48,5","89,2",81,"6,9","55,4","17,8","92,7","41,5","70,4","10,8","36,4","35,9","47,6","82,2","21,9","42,1","3,2","46,5","19,7","125,3","75,8","85,6","30,1","15,2","52,7","38,8","141,3","17,4","14,9","14,6","13,7","118,5","78,7"
Kennedy,HMT,4.611042014,-74.17833299,2555,"Bogotá, D.C",Cundinamarca,1734027.4636480466,-6119089.900597197,512950.11913376057,IDIGER,"17,5","21,7",31,"48,3","51,3","66,9","86,6","32,5","68,9",37,"137,5","43,3","7,4",36,"119,5","72,2","122,5","128,4","32,3","95,5","46,3","110,5","126,4","5,5","3,8","53,1","33,7","111,2","64,8","120,7","41,7",33,"54,7","112,3","96,7","6,8","61,7","21,6","109,9","45,2","36,1","15,9","46,8","41,4","42,5","101,8","30,9","48,3","9,9",50,28,"108,9","90,3","108,7","33,6","21,1","86,5","106,9","136,6","24,3","29,9","47,4","153,8","133,3","86,3"
Cerro Cazadores,CO,4.66577,-74.02861,3182,"Bogotá, D.C",Cundinamarca,1750048.0177875205,-6114664.685449733,519075.889465446,IDIGER,105,"186,3","162,3","52,6","76,7","89,5","113,8","43,6","63,9","44,7","291,1","88,6","19,1","50,5","102,2","153,7","124,3","155,5","75,5","102,1","44,7","121,5","98,9","35,5",36,146,120,215,"92,2","137,9","81,5","52,5","113,4","257,6","264,1",184,"206,3","36,4","318,1","146,4","92,6","48,6","85,3","64,5","26,6","82,5","140,1","108,4","4,4","70,9","89,6","136,6","92,4","99,4","82,6","19,1","76,5","154,7","333,2","63,4",18,"131,6","174,9","164,5","138,3"
Colegio Sim�n Rodr�guez Sede,CO,4.6405,-74.05435,2702,"Bogotá, D.C",Cundinamarca,1747232.1305117619,-6115209.787585954,516231.8863288555,IDIGER,"73,9","178,2","51,1","33,1","73,3",65,"94,6","22,9","91,5","36,1","365,5","100,1","14,5","41,8","126,4","192,6","203,3","159,2","48,9","131,1","39,5","169,4","124,8","29,9","48,1","130,7","96,4","291,9",102,"141,5","69,6",51,"141,8","282,8","269,2","138,4","186,7","66,2","306,4",118,"128,9","29,8",51,"56,3","57,4","111,7","121,7","106,5","27,6","97,4","101,6","157,9","43,4","28,8","47,9",16,"75,6","216,1","284,1","68,5","38,5",118,"298,7","212,7","121,2"
Paraiso,CO,4.62798,-74.0587,2747,"Bogotá, D.C",Cundinamarca,1746811.1069951784,-6115493.8718611095,514845.7656676638,IDIGER,"79,1","182,4","145,1","56,8","92,2",69,"110,6","36,9","119,1","33,9","391,2","121,5",35,"40,8",137,"222,2","209,2","184,6","60,5","144,1","42,2","193,8","95,9","21,1","49,1","139,2","68,2","264,2","115,6","167,8","91,9","64,9","172,1",333,"237,1","175,1","212,1","64,1",235,"135,7","138,5","37,3","66,2","69,3",48,"99,2","145,2",118,"32,1",74,"100,3","174,6","97,9","95,4","64,4","19,2","69,6","216,4","304,9","51,8","46,9","103,4","257,8","228,9","121,1"
UAN Circunvalar,CO,4.63546,-74.05746,2717,"Bogotá, D.C",Cundinamarca,1746916.7687504587,-6115362.633658543,515673.6488390597,IDIGER,"74,8","184,8","131,9","47,2","90,2","60,8","0,2","0,5","2,6","27,4","367,1","112,9","18,4","37,4",132,203,"182,1","161,8","46,7","133,7","40,7","189,5","134,9",27,"57,2","131,4","84,2","288,3","90,5","131,1","54,9","52,2","134,8","293,6","239,5","152,6","182,8","70,1","241,7","117,1","136,8","32,2","52,5","60,1","34,7","102,8","133,1","105,4",36,"90,1","84,2","144,6","96,7","89,6","53,4","17,1","27,2","24,4","289,6","60,9","41,6","105,1","239,1","193,9","120,4"
Altos De La Estancia,PM,4.58074,-74.17828,2960,"Bogotá, D.C",Cundinamarca,1734216.913080733,-6119736.859127729,509618.75994930486,IDIGER,"27,5","47,9","33,8","33,2","60,4","70,9","85,8","34,6","67,8","35,9","151,3","43,6",9,"30,4","97,1","53,5","130,1","132,6","30,6","86,2","33,8","103,1","117,6","15,7","4,6","61,7","34,6","126,7","84,6","155,4","49,5","38,4",63,"159,9","94,2","13,1","69,6","40,4","170,6","70,7","23,5","19,3","54,4","50,9","34,7","55,4","53,7","56,9","17,5","41,1","28,5","133,4",88,"113,1","36,7",19,"99,1","132,1","146,309","14,7","27,3","62,9","127,3","139,6","90,1"
Colegio Antonio Garc�a (IED),PM,4.545,-74.13944,2602,"Bogotá, D.C",Cundinamarca,1738354.0051219766,-6118521.161795844,505622.60346008505,IDIGER,"46,5",39,"40,5","23,8","42,7","51,4","53,5","15,9","54,9","29,1","187,8","34,2","9,8","21,4","61,5","57,7","159,4","80,5","26,2","76,7","36,3","122,8","61,7","14,9","5,5","58,7","64,6","117,4","67,7","100,7",55,"31,7","31,7","98,3","63,3","45,6","53,6",10,"125,6","43,9",32,"17,2","61,9","37,9","26,8","15,8","62,9","37,5","12,8","71,1",66,"92,1","79,7","64,8","33,5","15,3","79,3","124,2","140,6","31,3","35,6","47,3","66,2","91,7","56,4"
Colegio El Tesoro De La Cumbr,CO,4.53531,-74.14909,2816,"Bogotá, D.C",Cundinamarca,1737405.0724008118,-6119101.247282846,504563.7859234066,IDIGER,"44,9","30,3","41,6","41,6","49,2","64,2","69,3","24,2","61,8","32,6","200,7","27,8","9,3","38,8","82,3",65,"133,3","81,7","30,3","82,5","42,7","99,1","63,1","10,7",4,63,"66,7","142,1","78,6","119,2","58,5","33,8","36,6","93,1",85,"62,8","82,8","16,3","115,5","50,5","48,3","18,8","55,5",41,"24,3","20,2",71,"50,4","8,9",90,"50,3","100,7","93,9","63,8","40,9","18,6","71,1","140,4","138,4","31,9","19,4","47,1","81,5","93,3","71,3"
Colegio Sierra Morena,CO,4.57455,-74.17014,2783,"Bogotá, D.C",Cundinamarca,1735053.2052716825,-6119373.605949576,508917.4550611597,IDIGER,26,"33,6","40,7","26,4","62,9","56,5","65,5","35,7","50,5","38,3","142,9","46,1","11,9","23,9","71,9","38,1","96,4","124,2","23,1",66,"30,8","126,1",88,"15,3","2,1","57,9","32,1","109,5","71,2","119,4","46,1","33,7","42,9","123,3","76,2","12,7","60,5","22,9","108,4","63,2","21,7","15,6","50,8",33,"27,7",43,"39,3",45,"14,5","38,4","27,9","150,3","69,2","101,4","32,2","14,6","87,2","641,2","146,3","19,8","19,3","50,7","111,8","118,5","79,2"
Do�a Juana,CO,4.50082,-74.13739,2831,"Bogotá, D.C",Cundinamarca,1738741.369302483,-6119051.774378188,500735.79646586155,IDIGER,3,"34,6","23,9","40,6","66,3","97,5","89,5","31,8","76,3","25,6","246,5","17,6","6,4","42,6","85,2","82,2","126,4","102,6","52,1","116,7","29,8",99,"60,2","2,9",1,"82,1","83,6",123,"85,7","126,7","84,5","39,3","39,6","125,7","105,7","23,9","50,2","8,9","144,4","72,5","54,2","28,4","96,4","46,2","31,7","31,2","64,2",56,"2,7","70,7","42,7","92,2","134,4","66,5","55,5","27,4","63,8","137,2","117,2","11,6","25,7","53,2","65,8","126,2","83,4"
Gran Breta�a,CO,4.5117,-74.163522,3087,"Bogotá, D.C",Cundinamarca,1735994.0182532487,-6119998.092769044,501963.8815733028,IDIGER,"24,3","48,6","53,7","49,1","76,2","95,4","101,7","35,9","79,1","44,8","219,1","18,4","12,3","52,2","128,8","71,9","143,9","111,5","68,2","144,4","51,6","126,4","79,5",6,"2,7","106,1",86,"177,9","120,5","172,4","98,7","55,3","50,6","126,2","149,1",29,"88,9",20,"147,9","72,4","78,2","51,1","98,8","62,6","33,9","49,3","90,2","63,3",5,"63,2","46,1","91,3","170,3","98,2","74,2","37,3","110,7","202,6","132,3",14,"30,5","51,4","115,4","166,4","108,3"
Gravilleras R�o Tunjuelo,HMT,4.53335,-74.12513,2582,"Bogotá, D.C",Cundinamarca,1739904.7244451325,-6118166.389735719,504327.69147067977,IDIGER,0,0,0,0,0,0,0,0,0,0,0,0,0,37419322,357075360,345556800,357075360,345364824,357075360,357075360,345540802,357075360,345532803,357075360,357059362,322519680,357075360,345556800,357043364,345516805,357059362,357075360,345556800,356875385,345548801,357035365,357067361,322503682,"97539991,6",70,"34,7","23,8","72,9",51,"29,7","21,9","71,4","53,2","7,3","82,4","68,1","129,7","86,5","57,6","38,3","17,8","42,3",134,"137,2","20,1",28,50,"77,3","119,6","75,6"
Pasquilla,CO,4.446472014,-74.15483901,2962,"Bogotá, D.C",Cundinamarca,1737042.341423878,-6120160.827606162,494711.72060923127,IDIGER,"23,7","61,2","39,8","35,3","95,5","139,3","119,5","47,8","95,5","27,9","198,8","28,3","23,2",58,"86,8","87,5","124,5","126,6","103,4","113,4",45,"116,1","64,3","3,5","0,5","68,2","41,4","141,4","143,8","122,1","109,1","59,2","64,8","129,6","124,1","18,7","63,2","7,8","157,3","61,7","74,9","53,6","107,3","59,5","54,6","49,1","74,5","41,2","1,5","37,1",16,"49,7","153,5",69,"79,8","43,8","61,8","142,9","112,8","4,5","15,3","41,5","61,7","139,4","136,9"
Quiba,CO,4.54311,-74.15601,2916,"Bogotá, D.C",Cundinamarca,1736674.4609438044,-6119340.803207816,505437.6571604316,IDIGER,"37,3",47,"47,2","49,3",53,"76,5","70,1","24,9","53,5","31,6","187,3","33,1","11,5","27,5","80,6","56,2","117,7","73,2","29,4","68,9","46,3","109,1","76,7","11,5","4,1",59,"58,6",127,87,124,"75,2","40,5","43,1","97,3","99,9","47,6","69,1","19,4","104,7","48,7","41,3","23,1","73,2","51,5",35,"18,5","55,3","40,8",10,83,"43,5","96,4","97,9","87,4","46,5","20,9","78,1","138,7","158,3",23,15,"50,7",90,"112,7","71,4"
San Francisco Qda. Limas,HMT,4.56235,-74.14886901,2577,"Bogotá, D.C",Cundinamarca,1737298.366513732,-6118635.613560387,507546.6959575598,IDIGER,35,"50,2","55,2","38,3","69,1","94,8","50,6","26,2","46,4","32,1","183,8","53,8","12,3","18,5","79,8","41,6","133,6","99,6",28,"63,5","28,7",100,"68,6","15,6","2,6","58,9","38,4","96,3","61,6","105,2",49,"33,8","39,9",102,"92,6","25,3","58,2","10,9",94,"52,3","44,8","23,9","68,1",36,"32,4","43,1","52,7",41,"7,8","65,5","40,1","89,3","80,2","112,3","37,5","19,6","82,4","119,4","158,3","23,2","20,3","62,6","108,1","126,4","77,6"
Colegio Magdalena Ortega De N,CO,4.68664,-74.08296,2585,"Bogotá, D.C",Cundinamarca,1744031.7980356768,-6115567.584527807,521343.7695420797,IDIGER,"25,2","100,1","131,1","74,9","67,7","69,7","116,7","34,9","132,7","17,7","274,4","107,6",11,"92,4",115,99,"135,9","179,4","31,7","139,7","102,2","200,4","172,1","55,2","43,6","169,4","111,9","197,2","103,4","184,6","52,6","70,7","50,9","274,1","110,5","96,9","168,3","58,8","129,9","81,1","105,1","24,2","56,1","51,3","70,1","108,9","92,5","50,5","9,7",73,"33,4",127,"87,8","127,5",48,11,"56,4","152,5","235,1","75,4","41,6","127,8","238,2","189,4","144,5"
Colegio Rodolfo Llin�s (IED),CO,4.720124,-74.108288,2554,"Bogotá, D.C",Cundinamarca,1741236.0147786324,-6116014.157886399,525057.5924159726,IDIGER,"24,3","48,4","66,1",67,"90,2","88,4","87,8","48,6","145,3","67,5","207,3","75,9","7,1","65,2","136,7",117,"201,4","138,2","40,5","87,7","76,4",248,"128,8",56,32,"136,2","98,7","194,6","115,6","168,9","57,2","50,5","65,7","217,6","128,7","51,1","115,8","51,3","99,8","38,9","73,8","18,9","46,1","45,8","78,2","118,6","59,9","44,8",7,"49,5","43,3","96,3","114,7","108,3","45,8","9,3",41,"133,3","229,3","40,5","16,9","176,3","192,5","165,9","137,5"
